label	lineage
EPI_ISL_240468|B/Maryland/12/2016|NS	Victoria
EPI_ISL_241652|B/Maryland/13/2016|NS	Victoria
EPI_ISL_243866|B/Maryland/14/2016|NS	Victoria
EPI_ISL_247625|B/Maryland/14/2016|NS	Victoria
EPI_ISL_247650|B/Maryland/02/2017|NS	Victoria
EPI_ISL_248975|B/Maryland/02/2017|NS	Victoria
EPI_ISL_256824|B/Maryland/03/2017|NS	Victoria
EPI_ISL_257754|B/Maryland/03/2017|NS	Victoria
EPI_ISL_258200|B/Maryland/05/2017|NS	Victoria
EPI_ISL_259459|B/Maryland/07/2017|NS	Victoria
EPI_ISL_259778|B/Maryland/10/2017|NS	Victoria
EPI_ISL_259779|B/Maryland/08/2017|NS	Victoria
EPI_ISL_259780|B/Maryland/12/2016|NS	Victoria
EPI_ISL_262783|B/Maryland/15/2017|NS	Victoria
EPI_ISL_262831|B/Maryland/08/2017|NS	Victoria
EPI_ISL_262833|B/Maryland/10/2017|NS	Victoria
EPI_ISL_264114|B/Maryland/17/2017|NS	Victoria
EPI_ISL_264115|B/Maryland/18/2017|NS	Victoria
EPI_ISL_266624|B/Maryland/21/2017|NS	Victoria
EPI_ISL_267590|B/Maryland/41/2017|NS	Victoria
EPI_ISL_284099|B/Maryland/42/2017|NS	Victoria
EPI_ISL_284133|B/Maryland/42/2017|NS	Victoria
EPI_ISL_288572|B/Maryland/43/2017|NS	Victoria
EPI_ISL_290824|B/Maryland/44/2017|NS	Victoria
EPI_ISL_290825|B/Maryland/45/2017|NS	Victoria
EPI_ISL_292769|B/Maryland/43/2017|NS	Victoria
EPI_ISL_295946|B/Maryland/47/2017|NS	Victoria
EPI_ISL_296270|B/Maryland/45/2017|NS	Victoria
EPI_ISL_298420|B/Maryland/48/2017|NS	Victoria
EPI_ISL_303053|B/Maryland/02/2018|NS	Victoria
EPI_ISL_303052|B/Maryland/01/2018|NS	Victoria
EPI_ISL_304368|B/Maryland/03/2018|NS	Victoria
EPI_ISL_305859|B/Maryland/06/2018|NS	Victoria
EPI_ISL_307784|B/Maryland/12/2018|NS	Victoria
EPI_ISL_307785|B/Maryland/10/2018|NS	Victoria
EPI_ISL_307786|B/Maryland/11/2018|NS	Victoria
EPI_ISL_307787|B/Maryland/13/2018|NS	Victoria
EPI_ISL_307788|B/Maryland/16/2018|NS	Victoria
EPI_ISL_307789|B/Maryland/17/2018|NS	Victoria
EPI_ISL_307790|B/Maryland/14/2018|NS	Victoria
EPI_ISL_307791|B/Maryland/15/2018|NS	Victoria
EPI_ISL_307792|B/Maryland/18/2018|NS	Victoria
EPI_ISL_307793|B/Maryland/19/2018|NS	Victoria
EPI_ISL_307855|B/Maryland/07/2018|NS	Victoria
EPI_ISL_309089|B/Maryland/20/2018|NS	Victoria
EPI_ISL_309116|B/Maryland/09/2018|NS	Victoria
EPI_ISL_311584|B/Maryland/24/2018|NS	Victoria
EPI_ISL_313136|B/Maryland/26/2018|NS	Victoria
EPI_ISL_333838|B/Maryland/33/2018|NS	Victoria
EPI_ISL_335715|B/Maryland/35/2018|NS	Victoria
EPI_ISL_339815|B/Maryland/40/2018|NS	Victoria
EPI_ISL_353604|B/Maryland/07/2019|NS	Victoria
EPI_ISL_354377|B/Maryland/09/2019|NS	Victoria
EPI_ISL_354378|B/Maryland/08/2019|NS	Victoria
EPI_ISL_356331|B/Maryland/12/2019|NS	Victoria
EPI_ISL_356333|B/Maryland/13/2019|NS	Victoria
EPI_ISL_362511|B/Maryland/16/2019|NS	Victoria
EPI_ISL_362513|B/Maryland/18/2019|NS	Victoria
EPI_ISL_364216|B/Maryland/20/2019|NS	Victoria
EPI_ISL_364218|B/Maryland/21/2019|NS	Victoria
EPI_ISL_400240|B/Maryland/25/2019|NS	Victoria
EPI_ISL_403058|B/Maryland/25/2019|NS	Victoria
EPI_ISL_409332|B/Maryland/32/2019|NS	Victoria
EPI_ISL_413398|B/Maryland/32/2019|NS	Victoria
EPI_ISL_413820|B/Maryland/09/2020|NS	Victoria
EPI_ISL_415893|B/Maryland/09/2020|NS	Victoria
EPI_ISL_428238|B/Maryland/14/2020|NS	Victoria
EPI_ISL_428239|B/Maryland/13/2020|NS	Victoria
EPI_ISL_428243|B/Maryland/14/2020|NS	Victoria
EPI_ISL_428244|B/Maryland/13/2020|NS	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
	Victoria
